,nobs,mean,var
sklearnKMeans,100.0,0.20706514835357667,0.038538755774598504
ourKMeans,100.0,1.9565957832336425,0.29060789374280344
kMeansPP,100.0,1.9751872277259828,0.2411477421951266
bisectingKmeans,100.0,1.0329648900032042,0.14337206287192758
fcm,100.0,1.403294198513031,0.1848255186946327
