,nobs,mean,var
sklearnKMeans,100.0,0.09287590503692628,0.02201956763234718
ourKMeans,100.0,0.5270646739006043,0.21802657491930547
kMeansPP,100.0,0.5988758850097656,0.081485829143036
bisectingKmeans,100.0,0.4071318101882935,0.05870402145196606
fcm,100.0,0.10842766761779785,0.022070861512207687
