,nobs,mean,var
sklearnKMeans,100.0,0.030097053050994874,0.009845657861752575
ourKMeans,100.0,0.0598173713684082,0.05650414977145014
kMeansPP,100.0,0.03225497007369995,0.003993579671667733
bisectingKmeans,100.0,0.05024014949798584,0.05038680618719088
fcm,100.0,0.022136480808258058,0.004357998765168768
